Code,iso3,Country,code_note,Value2021,Share2021,Value2023,Share2023,abs_change,pct_change,status
SSD,SSD,South Sudan,,3548.22938,1.2089485862899791e-05,0.0,0.0,-3548.22938,-100.0,Only in 2021 (no 2023 mirror data)
STP,STP,Sao Tome and Principe,,74.56939,2.540719580564605e-07,0.0,0.0,-74.56939,-100.0,Only in 2021 (no 2023 mirror data)
SUD,SDN,Sudan,(legacy WITS/Comtrade code; standard ISO3 is 'SDN'),272.32955,9.278780744369073e-07,0.0,0.0,-272.32955,-100.0,Only in 2021 (no 2023 mirror data)
SUR,SUR,Suriname,,29.65239,1.0103127822761873e-07,38.58643,1.4902576752303266e-07,8.93404,30.129240847027845,Present in both years
SVK,SVK,Slovak Republic,,1949781.54538,0.006643272997365919,377742.02173,0.0014588883893642227,-1572039.52365,-80.62644388931375,Present in both years
SVN,SVN,Slovenia,,986109.92802,0.003359862274197989,1194214.27186,0.0046122094853267345,208104.34384,21.103564412727348,Present in both years
SWE,SWE,Sweden,,2490813.47219,0.008486670683945846,891270.766485,0.003442202609732715,-1599542.705705,-64.21768324139634,Present in both years
SWZ,SWZ,Eswatini,,2367.73594,8.067322348170665e-06,334.93343,1.2935560888859613e-06,-2032.80251,-85.85427435797591,Present in both years
SYC,SYC,Seychelles,,28.65927,9.764753131772673e-08,8.357404,3.2277371749603764e-08,-20.301865999999997,-70.83874083324521,Present in both years
SYR,SYR,Syrian Arab Republic,,12447.58358,4.241126195670968e-05,0.0,0.0,-12447.58358,-100.0,Only in 2021 (no 2023 mirror data)
TCA,TCA,Turks and Caicos Islands,,0.60397,2.057839557321851e-09,0.0,0.0,-0.60397,-100.0,Only in 2021 (no 2023 mirror data)
TCD,TCD,Chad,,10.78037,3.673075124354813e-08,0.0,0.0,-10.78037,-100.0,Only in 2021 (no 2023 mirror data)
TGO,TGO,Togo,,959.67117,3.2697804454647464e-06,0.0,0.0,-959.67117,-100.0,Only in 2021 (no 2023 mirror data)
THA,THA,Thailand,,1787889.87275,0.00609167757385314,820829.71743,0.003170150196473728,-967060.1553200001,-54.08946994215811,Present in both years
TJK,TJK,Tajikistan,,99096.27536,0.00033763967650556596,134687.465,0.0005201803547868148,35591.18964,35.91576929678056,Present in both years
TKL,TKL,Tokelau,,11.64356,3.9671802169065377e-08,0.0,0.0,-11.64356,-100.0,Only in 2021 (no 2023 mirror data)
TKM,TKM,Turkmenistan,,140605.19856,0.00047906839671152764,0.0,0.0,-140605.19856,-100.0,Only in 2021 (no 2023 mirror data)
TMP,TLS,Timor-Leste,(legacy WITS/Comtrade code; standard ISO3 is 'TLS'),7.24802,2.4695369419441238e-08,0.0,0.0,-7.24802,-100.0,Only in 2021 (no 2023 mirror data)
TON,TON,Tonga,,2.25907,7.697077021638615e-09,0.0,0.0,-2.25907,-100.0,Only in 2021 (no 2023 mirror data)
TTO,TTO,Trinidad and Tobago,,1065.79327,3.631358429944216e-06,0.0,0.0,-1065.79327,-100.0,Only in 2021 (no 2023 mirror data)
TUN,TUN,Tunisia,,145922.53994,0.0004971855803987114,17581.355684,6.790146237689084e-05,-128341.184256,-87.95158329122489,Present in both years
TUR,TUR,Turkiye,,6514509.40042999,0.022196160638359337,10906585.102,0.042122637825806206,4392075.70157001,67.41989966704341,Present in both years
TUV,TUV,Tuvalu,,6.24719,2.128535308724853e-08,0.0,0.0,-6.24719,-100.0,Only in 2021 (no 2023 mirror data)
TZA,TZA,Tanzania,,36170.7271,0.00012324048055942097,5999.74907,2.317180444271085e-05,-30170.97803,-83.41269432208898,Present in both years
UGA,UGA,Uganda,,23911.94244,8.147249208642016e-05,15302.45006,5.9100035042743704e-05,-8609.49238,-36.00498956370021,Present in both years
UKR,UKR,Ukraine,,4155331.14216,0.0141579959238178,0.0,0.0,-4155331.14216,-100.0,Only in 2021 (no 2023 mirror data)
UMI,UMI,United States Minor Outlying Islands,,52.82005,1.7996785984356515e-07,0.0,0.0,-52.82005,-100.0,Only in 2021 (no 2023 mirror data)
UNS,UNS,Unspecified (not allocated to a single country),,535496.18606,0.0018245363751001706,0.0,0.0,-535496.18606,-100.0,Only in 2021 (no 2023 mirror data)
URY,URY,Uruguay,,121609.08138,0.0004143450472595264,63243.215,0.0002442534501377601,-58365.86638000001,-47.994661021754034,Present in both years
USA,USA,United States,,17265493.91425,0.05882678999527019,597274.158,0.0023067498034314935,-16668219.756250001,-96.54064829557501,Present in both years
UZB,UZB,Uzbekistan,,1705446.11383,0.005810776157624052,3023085.12815,0.011675544524591137,1317639.0143199998,77.26066532591383,Present in both years
VAT,VAT,Holy See (Vatican City State),,4.34997,1.4821167175792395e-08,0.0,0.0,-4.34997,-100.0,Only in 2021 (no 2023 mirror data)
VEN,VEN,Venezuela,,1789.54638,6.097321606083284e-06,0.0,0.0,-1789.54638,-100.0,Only in 2021 (no 2023 mirror data)
VGB,VGB,British Virgin Islands,,15.78933,5.3797221480551394e-08,0.0,0.0,-15.78933,-100.0,Only in 2021 (no 2023 mirror data)
VNM,VNM,Vietnam,,4893324.13931,0.016672477077785353,1744271.782162,0.006736602507810649,-3149052.3571480005,-64.35405191841723,Present in both years
VUT,VUT,Vanuatu,,29.698,1.0118668008898511e-07,0.0,0.0,-29.698,-100.0,Only in 2021 (no 2023 mirror data)
WLF,WLF,Wallis and Futuna,,1.18519,4.038165579320636e-09,0.0,0.0,-1.18519,-100.0,Only in 2021 (no 2023 mirror data)
YEM,YEM,Yemen,,154.94962,5.279425425567315e-07,0.0,0.0,-154.94962,-100.0,Only in 2021 (no 2023 mirror data)
ZAF,ZAF,South Africa,,796871.90962,0.0027150926995291804,282766.918545,0.001092082295933868,-514104.991075,-64.515386333565,Present in both years
ZAR,COD,"Congo, Dem. Rep.",(legacy WITS/Comtrade code; standard ISO3 is 'COD'),333.57635,1.1365574588423909e-06,3.700894,1.4293329776073775e-08,-329.875456,-98.89054065133814,Present in both years
ZMB,ZMB,Zambia,,15750.13709,5.3663683853575626e-05,15.48408,5.980151328816994e-08,-15734.65301,-99.90168923666175,Present in both years
ZWE,ZWE,Zimbabwe,,34846.09786,0.00011872721922382951,200.71012,7.751683605516235e-07,-34645.38774,-99.42400976773241,Present in both years
